2026-09-12 23:46:21,252 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-12 23:46:21: {'train_loss': 0.5092329863592174, 'lr': 9.112202370689337e-05, 'val_loss': 1.8383528325432226, 'val_accuracy': 0.4557894736842105, 'val_precision': 0.37123305521644034, 'val_recall': 0.3939514161220044, 'val_f1': 0.3521204506991603, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.423959595959596, 'val_image_recall': 0.4213071895424837, 'val_image_f1': 0.3710936195587359}
2026-09-12 23:46:21,252 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.3521204506991603 val_image_f1=0.3710936195587359
2026-09-12 23:46:21,252 | INFO | src.trainer.trainer | Epoch 14/60 learning rate set to 8.96425e-05
2026-09-12 23:53:54,291 | INFO | src.trainer.trainer | Epoch 14/60 train_loss=0.502510
2026-09-12 23:54:12,201 | INFO | src.trainer.history | Epoch 14 metrics saved at 2026-09-12 23:54:12: {'train_loss': 0.5025102518626116, 'lr': 8.964252925434579e-05, 'val_loss': 1.8417057519210012, 'val_accuracy': 0.4435087719298246, 'val_precision': 0.36264598138808235, 'val_recall': 0.38305969498910675, 'val_f1': 0.34503233814256223, 'val_image_accuracy': 0.5263157894736842, 'val_image_precision': 0.4404642857142857, 'val_image_recall': 0.4541830065359477, 'val_image_f1': 0.4050329589200021}
2026-09-12 23:54:12,201 | INFO | src.trainer.trainer | Epoch 14/60 val_f1=0.34503233814256223 val_image_f1=0.4050329589200021
2026-09-12 23:54:12,201 | INFO | src.trainer.trainer | Epoch 15/60 learning rate set to 8.80648e-05
2026-09-13 00:01:48,335 | INFO | src.trainer.trainer | Epoch 15/60 train_loss=0.495795
2026-09-13 00:02:06,229 | INFO | src.trainer.history | Epoch 15 metrics saved at 2026-09-13 00:02:06: {'train_loss': 0.4957950851876557, 'lr': 8.806483678883803e-05, 'val_loss': 1.8692969824033872, 'val_accuracy': 0.41960526315789476, 'val_precision': 0.3567671616693168, 'val_recall': 0.3621943355119826, 'val_f1': 0.3380820135433013, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.3784126984126984, 'val_image_recall': 0.38620915032679737, 'val_image_f1': 0.347008547008547}
2026-09-13 00:02:06,229 | INFO | src.trainer.trainer | Epoch 15/60 val_f1=0.3380820135433013 val_image_f1=0.347008547008547
2026-09-13 00:02:06,229 | INFO | src.trainer.trainer | Epoch 16/60 learning rate set to 8.63934e-05
2026-09-13 00:09:38,688 | INFO | src.trainer.trainer | Epoch 16/60 train_loss=0.491125
