2026-09-12 06:05:28,085 | INFO | src.trainer.trainer | Epoch 21/60 train_loss=0.733503
2026-09-12 06:05:29,907 | INFO | src.trainer.history | Epoch 21 metrics saved at 2026-09-12 06:05:29: {'train_loss': 0.7335025708854154, 'lr': 7.680478916496926e-05, 'val_loss': 1.9377625932296116, 'val_accuracy': 0.3344298245614035, 'val_precision': 0.3014862888982375, 'val_recall': 0.28480664488017426, 'val_f1': 0.28169113533389034, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.3231060606060606, 'val_image_recall': 0.313202614379085, 'val_image_f1': 0.3017991764333228}
2026-09-12 06:05:29,907 | INFO | src.trainer.trainer | Epoch 21/60 val_f1=0.28169113533389034 val_image_f1=0.3017991764333228
2026-09-12 06:05:29,907 | INFO | src.trainer.trainer | Epoch 22/60 learning rate set to 7.46788e-05
2026-09-12 06:05:59,707 | INFO | src.trainer.trainer | Epoch 22/60 train_loss=0.733075
2026-09-12 06:06:01,512 | INFO | src.trainer.history | Epoch 22 metrics saved at 2026-09-12 06:06:01: {'train_loss': 0.7330748770267059, 'lr': 7.46788294206485e-05, 'val_loss': 1.9219066504585116, 'val_accuracy': 0.3580043859649123, 'val_precision': 0.30952509087137015, 'val_recall': 0.30699891067538126, 'val_f1': 0.2924088900159417, 'val_image_accuracy': 0.35526315789473684, 'val_image_precision': 0.3081818181818182, 'val_image_recall': 0.30562091503267974, 'val_image_f1': 0.27997505502567865}
2026-09-12 06:06:01,512 | INFO | src.trainer.trainer | Epoch 22/60 val_f1=0.2924088900159417 val_image_f1=0.27997505502567865
2026-09-12 06:06:01,513 | INFO | src.trainer.trainer | Epoch 23/60 learning rate set to 7.24971e-05
2026-09-12 06:06:31,661 | INFO | src.trainer.trainer | Epoch 23/60 train_loss=0.707170
2026-09-12 06:06:33,469 | INFO | src.trainer.history | Epoch 23 metrics saved at 2026-09-12 06:06:33: {'train_loss': 0.707169736679519, 'lr': 7.249708789629944e-05, 'val_loss': 1.9409216014962447, 'val_accuracy': 0.34868421052631576, 'val_precision': 0.30258355978005536, 'val_recall': 0.2995806100217865, 'val_f1': 0.2921201538934879, 'val_image_accuracy': 0.3815789473684211, 'val_image_precision': 0.3175514216575922, 'val_image_recall': 0.3280392156862745, 'val_image_f1': 0.3099759702458353}
2026-09-12 06:06:33,469 | INFO | src.trainer.trainer | Epoch 23/60 val_f1=0.2921201538934879 val_image_f1=0.3099759702458353
2026-09-12 06:06:33,469 | INFO | src.trainer.trainer | Epoch 24/60 learning rate set to 7.02657e-05
2026-09-12 06:07:03,246 | INFO | src.trainer.trainer | Epoch 24/60 train_loss=0.692885
2026-09-12 06:07:05,046 | INFO | src.trainer.history | Epoch 24 metrics saved at 2026-09-12 06:07:05: {'train_loss': 0.6928846752900235, 'lr': 7.026574897531136e-05, 'val_loss': 1.9860370632326394, 'val_accuracy': 0.3355263157894737, 'val_precision': 0.3028838593264644, 'val_recall': 0.2900054466230937, 'val_f1': 0.28738404308575516, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.30760233918128654, 'val_image_recall': 0.3211111111111112, 'val_image_f1': 0.30598290598290595}
2026-09-12 06:07:05,046 | INFO | src.trainer.trainer | Epoch 24/60 val_f1=0.28738404308575516 val_image_f1=0.30598290598290595
2026-09-12 06:07:05,046 | INFO | src.trainer.trainer | Epoch 25/60 learning rate set to 6.79911e-05
2026-09-12 06:07:35,119 | INFO | src.trainer.trainer | Epoch 25/60 train_loss=0.686299
2026-09-12 06:07:36,914 | INFO | src.trainer.history | Epoch 25 metrics saved at 2026-09-12 06:07:36: {'train_loss': 0.686298704094239, 'lr': 6.799113763028295e-05, 'val_loss': 1.9120990394761688, 'val_accuracy': 0.35581140350877194, 'val_precision': 0.29005456658920625, 'val_recall': 0.3058877995642702, 'val_f1': 0.2902455153224821, 'val_image_accuracy': 0.3815789473684211, 'val_image_precision': 0.3008034307267044, 'val_image_recall': 0.32915032679738565, 'val_image_f1': 0.30705499253463436}
2026-09-12 06:07:36,915 | INFO | src.trainer.trainer | Epoch 25/60 val_f1=0.2902455153224821 val_image_f1=0.30705499253463436
2026-09-12 06:07:36,915 | INFO | src.trainer.trainer | Epoch 26/60 learning rate set to 6.56797e-05
2026-09-12 06:08:06,640 | INFO | src.trainer.trainer | Epoch 26/60 train_loss=0.676453
2026-09-12 06:08:08,451 | INFO | src.trainer.history | Epoch 26 metrics saved at 2026-09-12 06:08:08: {'train_loss': 0.6764526269837672, 'lr': 6.567970149420018e-05, 'val_loss': 1.7999832681135128, 'val_accuracy': 0.37006578947368424, 'val_precision': 0.30894829048604533, 'val_recall': 0.3181263616557734, 'val_f1': 0.306205461867357, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.28174603174603174, 'val_image_recall': 0.31849673202614376, 'val_image_f1': 0.2938369630973986}
