2026-09-12 04:08:53,652 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=0.769251
2026-09-12 04:08:58,231 | INFO | src.trainer.trainer | Epoch 12: new best val_f1 0.3240, saved logs/sweeps/quality_search_20260911_223833/ds2_photo/ds2_photo/model_best.pt
2026-09-12 04:08:58,233 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-12 04:08:58: {'train_loss': 0.7692510613050956, 'lr': 9.249912635871318e-05, 'val_loss': 1.7528801574742883, 'val_accuracy': 0.38590225563909775, 'val_precision': 0.3316284386587583, 'val_recall': 0.3346190476190476, 'val_f1': 0.3239659441269963, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.3630952380952381, 'val_image_recall': 0.387516339869281, 'val_image_f1': 0.364374039193215}
2026-09-12 04:08:58,233 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.3239659441269963 val_image_f1=0.364374039193215
2026-09-12 04:08:58,233 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 9.1122e-05
2026-09-12 04:10:21,970 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=0.746467
2026-09-12 04:10:26,460 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-12 04:10:26: {'train_loss': 0.7464666829153189, 'lr': 9.112202370689337e-05, 'val_loss': 2.0416276007666623, 'val_accuracy': 0.31860902255639095, 'val_precision': 0.2682218115079983, 'val_recall': 0.27580765639589166, 'val_f1': 0.2526008346080399, 'val_image_accuracy': 0.32894736842105265, 'val_image_precision': 0.2720588235294118, 'val_image_recall': 0.27901960784313723, 'val_image_f1': 0.24906528765352293}
2026-09-12 04:10:26,461 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.2526008346080399 val_image_f1=0.24906528765352293
2026-09-12 04:10:26,461 | INFO | src.trainer.trainer | Epoch 14/60 learning rate set to 8.96425e-05
2026-09-12 04:11:50,386 | INFO | src.trainer.trainer | Epoch 14/60 train_loss=0.726076
2026-09-12 04:11:54,885 | INFO | src.trainer.history | Epoch 14 metrics saved at 2026-09-12 04:11:54: {'train_loss': 0.7260764504176889, 'lr': 8.964252925434579e-05, 'val_loss': 1.838350190614399, 'val_accuracy': 0.37857142857142856, 'val_precision': 0.3197513706541891, 'val_recall': 0.3262866479925304, 'val_f1': 0.309688741339757, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.3462086300795978, 'val_image_recall': 0.36398692810457517, 'val_image_f1': 0.3339617279272452}
2026-09-12 04:11:54,885 | INFO | src.trainer.trainer | Epoch 14/60 val_f1=0.309688741339757 val_image_f1=0.3339617279272452
2026-09-12 04:11:54,885 | INFO | src.trainer.trainer | Epoch 15/60 learning rate set to 8.80648e-05
2026-09-12 04:13:18,312 | INFO | src.trainer.trainer | Epoch 15/60 train_loss=0.708993
2026-09-12 04:13:22,819 | INFO | src.trainer.history | Epoch 15 metrics saved at 2026-09-12 04:13:22: {'train_loss': 0.7089926833261398, 'lr': 8.806483678883803e-05, 'val_loss': 1.7547785615114342, 'val_accuracy': 0.4030075187969925, 'val_precision': 0.32351583037313975, 'val_recall': 0.34601120448179273, 'val_f1': 0.3221162415010192, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.3566568320118016, 'val_image_recall': 0.4219607843137255, 'val_image_f1': 0.37342557317526026}
