2026-09-13 09:22:58,445 | INFO | src.trainer.history | Epoch 17 metrics saved at 2026-09-13 09:22:58: {'train_loss': 0.724554904450641, 'lr': 8.463301205792675e-05, 'val_loss': 1.7078899460403543, 'val_accuracy': 0.47342105263157896, 'val_precision': 0.4064009251374269, 'val_recall': 0.411287145969499, 'val_f1': 0.371229136711629, 'val_image_accuracy': 0.5394736842105263, 'val_image_precision': 0.4918070818070818, 'val_image_recall': 0.46483660130718957, 'val_image_f1': 0.40574296423353023}
2026-09-13 09:22:58,446 | INFO | src.trainer.trainer | Epoch 17/60 val_f1=0.371229136711629 val_image_f1=0.40574296423353023
2026-09-13 09:22:58,446 | INFO | src.trainer.trainer | Epoch 18/60 learning rate set to 8.27886e-05
2026-09-13 09:24:57,576 | INFO | src.trainer.trainer | Epoch 18/60 train_loss=0.704074
2026-09-13 09:25:15,561 | INFO | src.trainer.history | Epoch 18 metrics saved at 2026-09-13 09:25:15: {'train_loss': 0.7040744814274483, 'lr': 8.278860767257865e-05, 'val_loss': 1.8218294472025152, 'val_accuracy': 0.413640350877193, 'val_precision': 0.35751542903404115, 'val_recall': 0.3573755991285403, 'val_f1': 0.3369564091013049, 'val_image_accuracy': 0.5, 'val_image_precision': 0.431941031941032, 'val_image_recall': 0.43130718954248365, 'val_image_f1': 0.37684627771584295}
2026-09-13 09:25:15,561 | INFO | src.trainer.trainer | Epoch 18/60 val_f1=0.3369564091013049 val_image_f1=0.37684627771584295
2026-09-13 09:25:15,562 | INFO | src.trainer.trainer | Epoch 19/60 learning rate set to 8.08654e-05
2026-09-13 09:27:13,781 | INFO | src.trainer.trainer | Epoch 19/60 train_loss=0.696531
2026-09-13 09:27:31,737 | INFO | src.trainer.history | Epoch 19 metrics saved at 2026-09-13 09:27:31: {'train_loss': 0.6965306099981579, 'lr': 8.086543345964832e-05, 'val_loss': 1.6533723362914303, 'val_accuracy': 0.4581140350877193, 'val_precision': 0.3920699256588714, 'val_recall': 0.39645751633986925, 'val_f1': 0.36828979159250197, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3904761904761905, 'val_image_recall': 0.3986274509803921, 'val_image_f1': 0.3585485030132455}
2026-09-13 09:27:31,737 | INFO | src.trainer.trainer | Epoch 19/60 val_f1=0.36828979159250197 val_image_f1=0.3585485030132455
2026-09-13 09:27:31,738 | INFO | src.trainer.trainer | Epoch 20/60 learning rate set to 7.88689e-05
2026-09-13 09:29:29,558 | INFO | src.trainer.trainer | Epoch 20/60 train_loss=0.687291
2026-09-13 09:29:47,528 | INFO | src.trainer.history | Epoch 20 metrics saved at 2026-09-13 09:29:47: {'train_loss': 0.6872907945325664, 'lr': 7.886894086538841e-05, 'val_loss': 1.7125694177338953, 'val_accuracy': 0.44026315789473686, 'val_precision': 0.3680646655582543, 'val_recall': 0.38377908496732027, 'val_f1': 0.35165115206375414, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.3863765736179529, 'val_image_recall': 0.4177777777777778, 'val_image_f1': 0.36103959625603055}
2026-09-13 09:29:47,528 | INFO | src.trainer.trainer | Epoch 20/60 val_f1=0.35165115206375414 val_image_f1=0.36103959625603055
2026-09-13 09:29:47,529 | INFO | src.trainer.trainer | Epoch 21/60 learning rate set to 7.68048e-05
2026-09-13 09:31:45,323 | INFO | src.trainer.trainer | Epoch 21/60 train_loss=0.678796
2026-09-13 09:32:03,287 | INFO | src.trainer.history | Epoch 21 metrics saved at 2026-09-13 09:32:03: {'train_loss': 0.6787962452358197, 'lr': 7.680478916496926e-05, 'val_loss': 1.7298017576075437, 'val_accuracy': 0.4545175438596491, 'val_precision': 0.37727182356587413, 'val_recall': 0.3927755991285403, 'val_f1': 0.35458723644383733, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.41555555555555557, 'val_image_recall': 0.42150326797385623, 'val_image_f1': 0.37742138364779876}
2026-09-13 09:32:03,288 | INFO | src.trainer.trainer | Epoch 21/60 val_f1=0.35458723644383733 val_image_f1=0.37742138364779876
2026-09-13 09:32:03,288 | INFO | src.trainer.trainer | Epoch 22/60 learning rate set to 7.46788e-05
2026-09-13 09:34:02,090 | INFO | src.trainer.trainer | Epoch 22/60 train_loss=0.666298
