2026-09-13 06:15:11,284 | INFO | src.trainer.history | Epoch 14 metrics saved at 2026-09-13 06:15:11: {'train_loss': 0.7372019219982597, 'lr': 8.964252925434579e-05, 'val_loss': 1.7706464380548712, 'val_accuracy': 0.43798245614035086, 'val_precision': 0.36516411038799157, 'val_recall': 0.377982788671024, 'val_f1': 0.34208220731146366, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.3299930986887508, 'val_image_recall': 0.38732026143790854, 'val_image_f1': 0.3149408035194411}
2026-09-13 06:15:11,285 | INFO | src.trainer.trainer | Epoch 14/60 val_f1=0.34208220731146366 val_image_f1=0.3149408035194411
2026-09-13 06:15:11,285 | INFO | src.trainer.trainer | Epoch 15/60 learning rate set to 8.80648e-05
2026-09-13 06:17:09,820 | INFO | src.trainer.trainer | Epoch 15/60 train_loss=0.730678
2026-09-13 06:17:27,771 | INFO | src.trainer.history | Epoch 15 metrics saved at 2026-09-13 06:17:27: {'train_loss': 0.7306779039959246, 'lr': 8.806483678883803e-05, 'val_loss': 1.7236767516742673, 'val_accuracy': 0.433640350877193, 'val_precision': 0.36123658867425645, 'val_recall': 0.37355228758169934, 'val_f1': 0.3442648566442318, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.403030303030303, 'val_image_recall': 0.41954248366013075, 'val_image_f1': 0.37396336996337}
2026-09-13 06:17:27,771 | INFO | src.trainer.trainer | Epoch 15/60 val_f1=0.3442648566442318 val_image_f1=0.37396336996337
2026-09-13 06:17:27,771 | INFO | src.trainer.trainer | Epoch 16/60 learning rate set to 8.63934e-05
2026-09-13 06:19:26,044 | INFO | src.trainer.trainer | Epoch 16/60 train_loss=0.712683
2026-09-13 06:19:44,017 | INFO | src.trainer.history | Epoch 16 metrics saved at 2026-09-13 06:19:44: {'train_loss': 0.7126831564977599, 'lr': 8.639341845107433e-05, 'val_loss': 1.756877897245842, 'val_accuracy': 0.398859649122807, 'val_precision': 0.37696776787432895, 'val_recall': 0.3688764705882353, 'val_f1': 0.34856284277316624, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.3385544407283537, 'val_image_recall': 0.336078431372549, 'val_image_f1': 0.3172348074402957}
2026-09-13 06:19:44,017 | INFO | src.trainer.trainer | Epoch 16/60 val_f1=0.34856284277316624 val_image_f1=0.3172348074402957
