round,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
12,0.6573462783171522,0.6322279374511123,0.6990291262135923,0.6780582524271843,0.731715210355987,0.689967637540453,1.108458756672778,0.65972981977519,0.6475339805825242,0.9912673992673994,0.9912584971006393,0.9978021978021978,0.9980170205734116,0.9982017982017982,0.9980219780219781,0.03712694634700146,0.9915084103764529,0.9914472264772265,0.5520013024013025,0.4996476937553445,0.551965811965812,0.48732600732600734,0.5021245421245422,0.5285714285714286,2.8937661385542053,0.5333793403347515,0.5313875457875459
13,0.6588996763754046,0.6318857636237281,0.6990291262135923,0.676957928802589,0.7312297734627832,0.6844660194174758,1.2091165415767633,0.655793531887778,0.6458748651564186,0.9637069597069596,0.96349728432758,0.978021978021978,0.9786431112746903,0.9811435231435232,0.9781667221667221,0.0350573664329743,0.9663019647395953,0.9632526973026972,0.5691283679283679,0.5133609600692726,0.6058608058608059,0.5328519099947671,0.5470695970695971,0.5825641025641025,3.131528938074169,0.5333451741701697,0.5457841269841269
14,0.6750809061488673,0.6472147355563376,0.7281553398058253,0.7046601941747572,0.7448220064724917,0.7190938511326861,1.1017203580325,0.6730638356638913,0.66251024811219,0.9913260073260074,0.9908469994742742,0.9978021978021978,0.9974817856136537,0.9971114599686028,0.9981618381618382,0.032362692511765864,0.9907237304541684,0.9915349043549044,0.5660367928367929,0.5093107234244336,0.5972649572649572,0.5134945054945055,0.5046886446886447,0.5683516483516484,2.813909727670183,0.5443114508466345,0.5447553113553114
15,0.6236245954692556,0.6022023082607364,0.6407766990291263,0.6150809061488673,0.6555016181229774,0.6333333333333333,1.3120992958112085,0.6266050427636713,0.616789644012945,0.9267838827838828,0.9225120395263665,0.9384615384615385,0.9312953347019282,0.9470738384422595,0.9379926739926739,0.031941991273030615,0.9472632233773585,0.9275806315906315,0.5015959299959301,0.45601289550149116,0.511013431013431,0.43179277864992144,0.43359706959706956,0.4855677655677656,3.405843762554376,0.4925448057479265,0.48804884004884014
16,0.6572815533980583,0.6306181037130243,0.6699029126213593,0.6470550161812297,0.6901294498381877,0.6579288025889967,1.175002055818791,0.6597750390624607,0.6442373247033442,0.9902051282051283,0.9894190476940191,0.9978021978021978,0.9972552334543284,0.9971114599686028,0.9977533577533577,0.030798336906199965,0.9900443114358864,0.9894390202390201,0.570332030932031,0.5184871997501689,0.5968498168498169,0.5457875457875458,0.5790476190476191,0.5757509157509159,2.755054201289976,0.5563269633785342,0.5470395604395604
17,0.663948220064725,0.6397364494106315,0.6699029126213593,0.6467961165048545,0.6891585760517798,0.6598705501618123,1.1482632493522058,0.6722194900520054,0.6508932038834951,0.9791868131868132,0.9797790844355508,0.9934065934065934,0.9938201029399614,0.9944948384948386,0.9937533577533577,0.028926847376308025,0.980943386419975,0.9791040973840975,0.5787726495726495,0.5292198652740956,0.6157264957264957,0.5391585557299843,0.5421904761904762,0.599047619047619,2.9320464393433068,0.5641841288385134,0.5590630036630037
18,0.6336245954692556,0.6077429239650953,0.6504854368932039,0.6065742024965326,0.6313915857605178,0.6385113268608414,1.3398802886697865,0.6340966907847,0.622554476806904,0.9785787545787544,0.9791650868057994,0.9868131868131869,0.9872457701029129,0.9887667887667888,0.9881540681540681,0.0248512990922998,0.9808673995920005,0.9799691933991934,0.5281798941798942,0.47898679057535826,0.5750671550671551,0.5155918367346939,0.5066300366300367,0.5717948717948719,3.158234490843479,0.5125232210516129,0.5126835164835165
19,0.6554368932038835,0.6300438743150643,0.6601941747572816,0.6402588996763753,0.6928802588996764,0.6472491909385112,1.2234694601647185,0.6540902982719058,0.6437238403451995,0.9747619047619047,0.9748171530875138,0.9868131868131869,0.9869225670544352,0.9883495552066981,0.9887872127872127,0.02493020937707268,0.9769341612128825,0.9780149406149408,0.5704091982091981,0.5187305796729406,0.6192673992673993,0.5511941391941393,0.559047619047619,0.6026373626373626,2.9417250951849634,0.5591564739658358,0.5526344322344323
20,0.641715210355987,0.6176187280979888,0.6601941747572816,0.634711049468331,0.6916181229773463,0.6482200647249191,1.3117652312890344,0.6433216223405448,0.6320733549083064,0.9728205128205129,0.973253382927788,0.9846153846153847,0.9849895100571111,0.9857949669378241,0.987072927072927,0.027660235465135793,0.9745504451052972,0.9758696621896622,0.5537236467236467,0.5030332463524858,0.5752625152625153,0.5084249084249084,0.5116483516483517,0.5651282051282052,3.2785883530279385,0.5301400548728701,0.5407665445665445
21,0.6573462783171521,0.6330139252050815,0.6796116504854369,0.6446139620896902,0.7023300970873787,0.6637540453074433,1.201619140197683,0.6605817343476599,0.6467518878101401,0.9968864468864469,0.9969092983042844,1.0,1.0,1.0,1.0,0.026514886300308085,0.996708412171027,0.9971408632108634,0.5560096052096051,0.5098869191957649,0.6058363858363859,0.5437948717948717,0.5558241758241759,0.5925274725274726,3.1299614576913926,0.5478255768128113,0.5402930402930403
